Year,inactive,MF,MR,not.tagged,Seedling,SF,SR,Recruitment,Total,Prop.inactive,Prop.MF,Prop.MR,Prop.Seedling,Prop.SF,Prop.SR,Prop.Rec,Plot,Site
2009,0,0,0,41,0,0,45,33,45,0,0,0,0,0,100,73.33333333333333,UAC,Arapaho
1990,0,0,0,0,0,3,34,NA,37,0,0,0,0,8.108108108108109,91.8918918918919,NA,UAD,Arapaho
1991,1,0,0,0,2,4,26,12,33,3.0303030303030303,0,0,6.0606060606060606,12.121212121212121,78.78787878787878,36.36363636363637,UAD,Arapaho
1992,0,0,3,0,0,4,27,11,34,0,0,8.823529411764707,0,11.76470588235294,79.41176470588235,32.35294117647059,UAD,Arapaho
1993,0,0,0,0,17,6,42,49,65,0,0,0,26.153846153846157,9.230769230769232,64.61538461538461,75.38461538461539,UAD,Arapaho
1994,1,0,3,0,0,0,65,36,69,1.4492753623188406,0,4.3478260869565215,0,0,94.20289855072464,52.17391304347826,UAD,Arapaho
1995,0,1,1,0,4,3,37,14,46,0,2.1739130434782608,2.1739130434782608,8.695652173913043,6.521739130434782,80.43478260869566,30.434782608695656,UAD,Arapaho
1996,1,0,1,0,1,1,37,16,41,2.4390243902439024,0,2.4390243902439024,2.4390243902439024,2.4390243902439024,90.2439024390244,39.02439024390244,UAD,Arapaho
1997,0,0,0,0,0,4,27,7,31,0,0,0,0,12.903225806451612,87.09677419354838,22.58064516129032,UAD,Arapaho
1998,2,0,1,0,5,1,24,17,33,6.0606060606060606,0,3.0303030303030303,15.151515151515152,3.0303030303030303,72.72727272727273,51.515151515151516,UAD,Arapaho
1999,1,0,1,0,3,2,20,10,27,3.7037037037037033,0,3.7037037037037033,11.11111111111111,7.4074074074074066,74.07407407407408,37.03703703703704,UAD,Arapaho
2000,1,0,1,0,1,1,20,7,24,4.166666666666666,0,4.166666666666666,4.166666666666666,4.166666666666666,83.33333333333334,29.166666666666668,UAD,Arapaho
2001,1,0,0,0,0,3,12,2,16,6.25,0,0,0,18.75,75,12.5,UAD,Arapaho
2002,0,0,2,0,0,0,15,7,17,0,0,11.76470588235294,0,0,88.23529411764706,41.17647058823529,UAD,Arapaho
2003,0,0,1,0,0,1,10,4,12,0,0,8.333333333333332,0,8.333333333333332,83.33333333333334,33.33333333333333,UAD,Arapaho
2004,0,0,2,0,5,0,15,14,22,0,0,9.090909090909092,22.727272727272727,0,68.18181818181817,63.63636363636363,UAD,Arapaho
2005,1,0,1,0,1,1,29,17,33,3.0303030303030303,0,3.0303030303030303,3.0303030303030303,3.0303030303030303,87.87878787878788,51.515151515151516,UAD,Arapaho
2006,3,1,0,0,0,2,27,8,33,9.090909090909092,3.0303030303030303,0,0,6.0606060606060606,81.81818181818183,24.242424242424242,UAD,Arapaho
2007,0,0,1,0,0,2,53,31,56,0,0,1.7857142857142856,0,3.571428571428571,94.64285714285714,55.35714285714286,UAD,Arapaho
2008,0,0,3,30,1,1,67,51,72,0,0,4.166666666666666,1.3888888888888888,1.3888888888888888,93.05555555555556,70.83333333333334,UAD,Arapaho
2009,0,0,1,79,0,3,68,63,72,0,0,1.3888888888888888,0,4.166666666666666,94.44444444444444,87.5,UAD,Arapaho
