Year,Month,ppt (mm),tmean (degrees C),PET,spei_1,spei_12,Site,Wat.Bal,spei1_RP,spei12_RP,ppt.anomaly,tmean.anomaly
1959,6,84.82,21.5,132.74301517611755,-0.09489956853838591,0.3951411798456745,Arapaho,-47.92301517611756,-0.022055885705473975,0.38045432415345554,47.95224999999999,12.889583
1959,7,26.75,21.9,137.80040698142668,-1.127904216012088,-1.0027503373792062,Arapaho,-111.05040698142668,-1.1090648061455566,-1.0242857139364603,-10.117750000000001,13.289582999999999
1959,8,37.83,23,135.5194500917809,-0.734065649678042,-1.148281889149537,Arapaho,-97.6894500917809,-0.6561536704001641,-1.194760661706547,0.9622499999999974,14.389583
1959,9,45.14,15.1,72.16594329433609,0.5125500317602083,-0.7560077480698231,Arapaho,-27.025943294336088,0.5929809475926567,-0.8239088969470653,8.27225,6.489583
1959,10,39.53,7.4,28.826438946316344,1.0469228521752831,-0.20675722928666507,Arapaho,10.703561053683657,1.4418558569783546,-0.20012027892246162,2.6622500000000002,-1.2104169999999996
1959,11,3.02,-0.1,0,-0.19982349893832135,-0.19498218208077728,Arapaho,3.02,-0.18911440166528334,-0.20857704970923785,-33.84775,-8.710417
1959,12,1.6,0.2,0.36079828081131304,-1.292751246245677,-0.38123025856441844,Arapaho,1.239201719188687,-1.5486656230700977,-0.3986969878539508,-35.26775,-8.410417
1960,1,16.51,-5.4,0,1.3666015296689877,-0.2778028943925509,Arapaho,16.51,1.3472244670008628,-0.33251634568186395,-20.35775,-14.010417
1960,2,31.17,-7.1,0,1.8649147388727183,-0.028886646998514284,Arapaho,31.17,1.7155853327790713,-0.056605104598369795,-5.697749999999999,-15.710417
1960,3,15.11,-1.1,0,0.1167382515439572,-0.2689977268087948,Arapaho,15.11,0.048513142590340355,-0.28876220694282745,-21.75775,-9.710417
1960,4,51.19,9.3,43.831417012870226,-0.02138062444953734,-0.030479278976710912,Arapaho,7.358582987129772,0.0865239244181687,-0.055662403989436636,14.322249999999997,0.6895830000000007
1960,5,89.25,13.6,76.99449209235614,0.34910112283529127,-0.0234367983161268,Arapaho,12.25550790764386,0.2013309941836391,-0.06872073773751224,52.38225,4.989583
1960,6,39.78,18.7,112.8976465693773,-0.9105831980338124,-0.3341267023194218,Arapaho,-73.1176465693773,-0.868409289555602,-0.4288739792394717,2.9122500000000002,10.089583
1960,7,39.86,22.8,144.39418045820253,-0.933085897608065,-0.30007987321894,Arapaho,-104.53418045820253,-0.9123286517923712,-0.34175244666121424,2.9922499999999985,14.189583
1960,8,51.37,22,128.70537338886538,0.11395570922871283,-0.027328764303927524,Arapaho,-77.33537338886538,0.29022743736958945,-0.0674482710175166,14.502249999999997,13.389583
1960,9,24.89,17,82.80737850263115,-0.5806306157996263,-0.3296201718373249,Arapaho,-57.91737850263115,-0.4542503527839585,-0.3463744587195132,-11.97775,8.389583
1960,10,21.38,10.2,41.83479141142461,-0.32346360139107877,-0.6744624615868294,Arapaho,-20.454791411424612,0.03364817529515837,-0.6803434931047113,-15.487750000000002,1.5895829999999993
1960,11,7.61,2.8,7.988507046807798,-0.5134622617491225,-0.7316988563284953,Arapaho,-0.37850704680779756,-0.5160783901318534,-0.7530466647318907,-29.25775,-5.810417
1960,12,12.99,-3.2,0,0.8975127923061998,-0.6054735399262114,Arapaho,12.99,0.823025060490358,-0.6173445271631711,-23.87775,-11.810417000000001
1961,1,0,-2.7,0,-1.5178857176668594,-0.8029440664824545,Arapaho,0,-1.515646249344356,-0.8670772905639463,-36.86775,-11.310417000000001
1961,2,6.72,0.2,0.3752872346838003,-0.09912288524560788,-1.0934672851983032,Arapaho,6.344712765316199,-0.15508967597270623,-1.154535769875181,-30.147750000000002,-8.410417
1961,3,39.89,3.3,12.083239190622967,0.8386850743853416,-0.950833752651664,Arapaho,27.80676080937703,0.7431921254150704,-0.9838397317720905,3.0222499999999997,-5.310417
1961,4,40.42,5.2,22.323674221599326,0.39772752413482193,-0.8630626120246584,Arapaho,18.096325778400676,0.5209309533313247,-0.8534095464059697,3.552250000000001,-3.410417
1961,5,136.33,12.3,68.52036304124192,1.6636130637157402,-0.2012454143125206,Arapaho,67.80963695875809,1.5488712117017798,-0.2497359577455983,99.46225000000001,3.6895830000000007
